#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                      random.bin|  2.94e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
# The file file_input_raw was rewound 1 times
   diehard_birthdays|   0|       100|     100|0.66761388|  PASSED  
# The file file_input_raw was rewound 13 times
      diehard_operm5|   0|   1000000|     100|0.47522554|  PASSED  
# The file file_input_raw was rewound 29 times
  diehard_rank_32x32|   0|     40000|     100|0.26951273|  PASSED  
# The file file_input_raw was rewound 36 times
    diehard_rank_6x8|   0|    100000|     100|0.55429393|  PASSED  
# The file file_input_raw was rewound 40 times
   diehard_bitstream|   0|   2097152|     100|0.17764376|  PASSED  
# The file file_input_raw was rewound 65 times
        diehard_opso|   0|   2097152|     100|0.21869034|  PASSED  
# The file file_input_raw was rewound 82 times
        diehard_oqso|   0|   2097152|     100|0.00001742|   WEAK  
# The file file_input_raw was rewound 90 times
         diehard_dna|   0|   2097152|     100|0.45349440|  PASSED  
# The file file_input_raw was rewound 91 times
diehard_count_1s_str|   0|    256000|     100|0.99447572|  PASSED  
# The file file_input_raw was rewound 107 times
diehard_count_1s_byt|   0|    256000|     100|0.09807069|  PASSED  
# The file file_input_raw was rewound 107 times
 diehard_parking_lot|   0|     12000|     100|0.39368629|  PASSED  
# The file file_input_raw was rewound 107 times
    diehard_2dsphere|   2|      8000|     100|0.83563476|  PASSED  
# The file file_input_raw was rewound 107 times
    diehard_3dsphere|   3|      4000|     100|0.98074025|  PASSED  
# The file file_input_raw was rewound 135 times
     diehard_squeeze|   0|    100000|     100|0.00425289|   WEAK  
# The file file_input_raw was rewound 135 times
        diehard_sums|   0|       100|     100|0.32777785|  PASSED  
# The file file_input_raw was rewound 137 times
        diehard_runs|   0|    100000|     100|0.15838835|  PASSED  
        diehard_runs|   0|    100000|     100|0.47567797|  PASSED  
# The file file_input_raw was rewound 153 times
       diehard_craps|   0|    200000|     100|0.00022098|   WEAK  
       diehard_craps|   0|    200000|     100|0.12675639|  PASSED  
# The file file_input_raw was rewound 397 times
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 398 times
         sts_monobit|   1|    100000|     100|0.91315517|  PASSED  
# The file file_input_raw was rewound 400 times
            sts_runs|   2|    100000|     100|0.96984597|  PASSED  
# The file file_input_raw was rewound 401 times
          sts_serial|   1|    100000|     100|0.31362950|  PASSED  
          sts_serial|   2|    100000|     100|0.82588502|  PASSED  
          sts_serial|   3|    100000|     100|0.06676081|  PASSED  
          sts_serial|   3|    100000|     100|0.02542471|  PASSED  
          sts_serial|   4|    100000|     100|0.07843343|  PASSED  
          sts_serial|   4|    100000|     100|0.64132175|  PASSED  
          sts_serial|   5|    100000|     100|0.62145046|  PASSED  
          sts_serial|   5|    100000|     100|0.92883334|  PASSED  
          sts_serial|   6|    100000|     100|0.55145286|  PASSED  
          sts_serial|   6|    100000|     100|0.72165942|  PASSED  
          sts_serial|   7|    100000|     100|0.63382069|  PASSED  
          sts_serial|   7|    100000|     100|0.90579944|  PASSED  
          sts_serial|   8|    100000|     100|0.04148050|  PASSED  
          sts_serial|   8|    100000|     100|0.15980667|  PASSED  
          sts_serial|   9|    100000|     100|0.03553958|  PASSED  
          sts_serial|   9|    100000|     100|0.50734999|  PASSED  
          sts_serial|  10|    100000|     100|0.99984243|   WEAK  
          sts_serial|  10|    100000|     100|0.15725932|  PASSED  
          sts_serial|  11|    100000|     100|0.50131350|  PASSED  
          sts_serial|  11|    100000|     100|0.89834051|  PASSED  
          sts_serial|  12|    100000|     100|0.46644538|  PASSED  
          sts_serial|  12|    100000|     100|0.12975884|  PASSED  
          sts_serial|  13|    100000|     100|0.63077006|  PASSED  
          sts_serial|  13|    100000|     100|0.53519232|  PASSED  
          sts_serial|  14|    100000|     100|0.88328647|  PASSED  
          sts_serial|  14|    100000|     100|0.59560349|  PASSED  
          sts_serial|  15|    100000|     100|0.52344564|  PASSED  
          sts_serial|  15|    100000|     100|0.82542691|  PASSED  
          sts_serial|  16|    100000|     100|0.82024858|  PASSED  
          sts_serial|  16|    100000|     100|0.02367106|  PASSED  
# The file file_input_raw was rewound 403 times
         rgb_bitdist|   1|    100000|     100|0.31406796|  PASSED  
# The file file_input_raw was rewound 408 times
